"Release.Year","Games","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
1980,9,10.59,0.67,0,0.12
1981,46,33.4,1.96,0,0.32
1982,36,26.92,1.65,0,0.31
1983,17,7.76,0.8,8.1,0.14
1984,14,33.28,2.1,14.27,0.7
1985,14,33.73,4.74,14.56,0.92
1986,21,12.5,2.84,19.81,1.93
1987,16,8.46,1.41,11.63,0.2
1988,15,23.87,6.59,15.76,0.99
1989,17,45.15,8.44,18.36,1.5
1990,16,25.46,7.63,14.88,1.4
1991,41,12.76,3.95,14.78,0.74
1992,43,33.87,11.71,28.91,1.65
1993,60,15.12,4.65,25.33,0.89
1994,121,28.15,14.88,33.99,2.2
1995,219,24.82,14.9,45.75,2.64
1996,263,86.76,47.26,57.44,7.69
1997,289,94.75,48.32,48.87,9.13
1998,379,128.36,66.9,50.04,11.03
1999,338,126.06,62.67,52.34,10.05
2000,349,94.49,52.75,42.77,11.62
2001,482,173.98,94.89,39.86,22.76
2002,829,216.19,109.74,41.76,27.28
2003,775,193.59,103.81,34.2,26.01
2004,763,222.59,107.32,41.65,47.29
2005,941,242.61,121.94,54.28,40.58
2006,1008,263.12,129.24,73.73,54.43
2007,1202,312.05,160.5,60.29,77.6
2008,1428,351.44,184.4,60.26,82.39
2009,1431,338.85,191.59,61.89,74.77
2010,1259,304.24,176.73,59.49,59.9
2011,1139,241.06,167.44,53.04,54.39
2012,657,154.96,118.78,51.74,37.82
2013,546,154.77,125.8,47.59,39.82
2014,582,131.97,125.65,39.46,40.02
2015,614,102.82,97.71,33.72,30.01
2016,344,22.66,26.76,13.7,7.75
